mnemonic,unit,value,descr,API,file,MaxDepth
BHT,DEGF,140.0,Bottom Hole Temperature (used in calculations),0508107348,0508107348_2585412.las,4056.0
MRT,DEGF,140.0,Maximum Recorded Temperature,0508107348,0508107348_2585412.las,4056.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107349,0508107349_2585140.las,682.5
MRT,DEGF,65.0,Maximum Recorded Temperature,0508107349,0508107349_2585140.las,682.5
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107349,0508107349_2585627.las,3951.0
MRT,,,Maximum Recorded Temperature,0508107349,0508107349_2585627.las,3951.0
BHT,DEGF,120.0,Bottom Hole Temperature (used in calculations),0508107355,0508107355_2353238.LAS,4124.0
MRT,DEGF,120.0,Maximum Recorded Temperature,0508107355,0508107355_2353238.LAS,4124.0
BHT,DEGF,120.0,Bottom Hole Temperature (used in calculations),0508107355,0508107355_2398014.LAS,1748.0
MRT,DEGF,120.0,Maximum Recorded Temperature,0508107355,0508107355_2398014.LAS,1748.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107356,0508107356_2279123.LAS,3711.5
MRT,DEGF,0.0,Maximum Recorded Temperature,0508107356,0508107356_2279123.LAS,3711.5
BHT,DEGF,150.0,Bottom Hole Temperature (used in calculations),0508107356,0508107356_2282838.LAS,1470.0
MRT,DEGF,145.0,Maximum Recorded Temperature,0508107356,0508107356_2282838.LAS,1470.0
BHT,DEGF,160.0,Bottom Hole Temperature (used in calculations),0508107358,0508107358_2349462.LAS,7923.0
MRT,DEGF,160.0,Maximum Recorded Temperature,0508107358,0508107358_2349462.LAS,7923.0
BHT,DEGF,123.0,Bottom Hole Temperature (used in calculations),0508107359,0508107359_2261086.LAS,4920.0
MRT,DEGF,123.0,Maximum Recorded Temperature,0508107359,0508107359_2261086.LAS,4920.0
BHT,DEGF,123.0,Bottom Hole Temperature (used in calculations),0508107359,0508107359_2334853.LAS,4850.0
MRT,DEGF,123.0,Maximum Recorded Temperature,0508107359,0508107359_2334853.LAS,4850.0
BHT,DEGF,115.0,Bottom Hole Temperature (used in calculations),0508107362,0508107362_2352587.LAS,4230.0
MRT,DEGF,115.0,Maximum Recorded Temperature,0508107362,0508107362_2352587.LAS,4230.0
BHT,DEGF,115.0,Bottom Hole Temperature (used in calculations),0508107362,0508107362_2410664.LAS,4227.0
MRT,DEGF,115.0,Maximum Recorded Temperature,0508107362,0508107362_2410664.LAS,4227.0
BHT,DEGF,116.0,Bottom Hole Temperature (used in calculations),0508107363,0508107363_2333634.LAS,2448.0
MRT,DEGF,116.0,Maximum Recorded Temperature,0508107363,0508107363_2333634.LAS,2448.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107363,0508107363_2356074.LAS,3901.0
MRT,DEGF,0.0,Maximum Recorded Temperature,0508107363,0508107363_2356074.LAS,3901.0
BHT,DegF,32.0,Bottom Hole Temp,0508107368,0508107368_2577169.LAS,5419.3
MRT,DegF,32.0,Max Recorded Temp,0508107368,0508107368_2577169.LAS,5419.3
BHT,DegF,32.0,Bottom Hole Temp,0508107368,0508107368_2577170.LAS,5612.6
MRT,DegF,32.0,Max Recorded Temp,0508107368,0508107368_2577170.LAS,5612.6
TEMP,degC,79.11,Bottom Hole Temperature,0508107369,0508107369_2270036.LAS,8323.25
MRT,degC,80.17,Maximum Recorded Temperature,0508107369,0508107369_2270036.LAS,8323.25
TEMP,degC,79.11,Bottom Hole Temperature,0508107369,0508107369_2316480.LAS,8323.75
MRT,degC,80.17,Maximum Recorded Temperature,0508107369,0508107369_2316480.LAS,8323.75
BHTEMP,degF,174.4,Bottom Hole Temperature,0508107369,0508107369_2388076.LAS,8323.75
MRT,degF,176.3,Maximum Recorded Temperature,0508107369,0508107369_2388076.LAS,8323.75
BHT:1,,32.0,Bottom Hole Temperature,0508107382,0508107382_2391993.LAS,5539.0
MRT:1,,32.0,Max Recorded Temperature,0508107382,0508107382_2391993.LAS,5539.0
BHT:2,,,Bottom Hole Temperature,0508107382,0508107382_2391993.LAS,5539.0
MRT:2,,,Max Recorded Temperature,0508107382,0508107382_2391993.LAS,5539.0
BHT:3,,,Bottom Hole Temperature,0508107382,0508107382_2391993.LAS,5539.0
MRT:3,,,Max Recorded Temperature,0508107382,0508107382_2391993.LAS,5539.0
TEMP,degF,117.6,Bottom Hole Temperature,0508107383,0508107383_2284423.LAS,3967.0
MRT,degF,118.0,Maximum Recorded Temperature,0508107383,0508107383_2284423.LAS,3967.0
MRT,DegF,32,MAXIMUM RECORDED TEMPERATURE,0508107392,0508107392_2241047.LAS,5811.2
BHT,DegF,32.0,Bottom Hole Temp,0508107392,0508107392_2314537.LAS,5811.9
MRT,DegF,32.0,Max Recorded Temp,0508107392,0508107392_2314537.LAS,5811.9
BHT,DegF,32.0,Bottom Hole Temp,0508107393,0508107393_2236369.LAS,6097.0
MRT,DegF,32.0,Max Recorded Temp,0508107393,0508107393_2236369.LAS,6097.0
MRT,DegF,32,MAXIMUM RECORDED TEMPERATURE,0508107393,0508107393_2301842.LAS,6091.0
BHT,DEGF,109.0,Bottom Hole Temperature,0508107394,0508107394_2306466.LAS,3750.0
MRT,DEGF,109.0,Maximum Recorded Temperature,0508107394,0508107394_2306466.LAS,3750.0
BHT,DegF,32.0,Bottom Hole Temp,0508107405,0508107405_2577171.LAS,5419.3
MRT,DegF,32.0,Max Recorded Temp,0508107405,0508107405_2577171.LAS,5419.3
BHT,DegF,32.0,Bottom Hole Temp,0508107405,0508107405_2577172.LAS,5612.6
MRT,DegF,32.0,Max Recorded Temp,0508107405,0508107405_2577172.LAS,5612.6
MRT,DegF,32,MAXIMUM RECORDED TEMPERATURE,0508107408,0508107408_2764549.las,8653.0
BHT,DegF,32.0,Bottom Hole Temp,0508107408,0508107408_2764558.las,8654.0
MRT,DegF,32.0,Max Recorded Temp,0508107408,0508107408_2764558.las,8654.0
MRT,DegF,32,MAXIMUM RECORDED TEMPERATURE,0508107408,0508107408_2829022.las,8653.0
MRT,DegF,32,MAXIMUM RECORDED TEMPERATURE,0508107408,0508107408_2829023.las,8650.0
BHT,DegF,32.0,Bottom Hole Temp,0508107408,0508107408_2829026.las,8654.0
MRT,DegF,32.0,Max Recorded Temp,0508107408,0508107408_2829026.las,8654.0
MRT,DegF,32,MAXIMUM RECORDED TEMPERATURE,0508107408,0508107408_2829027.las,8645.0
BHT:1,,N/A,Bottom Hole Temperature,0508107408,0508107408_2829040.las,8688.5
MRT:1,,N/A,Max Recorded Temperature,0508107408,0508107408_2829040.las,8688.5
BHT:2,,,Bottom Hole Temperature,0508107408,0508107408_2829040.las,8688.5
MRT:2,,,Max Recorded Temperature,0508107408,0508107408_2829040.las,8688.5
BHT:3,,,Bottom Hole Temperature,0508107408,0508107408_2829040.las,8688.5
MRT:3,,,Max Recorded Temperature,0508107408,0508107408_2829040.las,8688.5
BHT,DegF,32.0,Bottom Hole Temp,0508107409,0508107409_2764542.las,8786.7
