DEPT,GR,GRTO,POTA,THOR,URAN
702.0,8.5659,7.2423,0.1747,0.1965,0.7242
702.5,8.2542,7.6433,0.1957,0.2258,0.6739
703.0,8.2832,7.2363,0.1939,0.2338,0.5897
703.5,8.4137,6.4021,0.1728,0.2465,0.4887
704.0,8.3195,5.6323,0.1452,0.2493,0.4272
704.5,7.4861,5.9184,0.1459,0.2794,0.4627
705.0,7.16,7.1824,0.1734,0.3807,0.5725
705.5,8.3122,8.1225,0.2025,0.4347,0.6548
706.0,9.6891,8.4132,0.2128,0.4509,0.691
706.5,10.0442,8.4107,0.2201,0.477,0.6749
707.0,9.9718,8.9394,0.2252,0.5147,0.7365
707.5,10.9356,10.3997,0.2588,0.6708,0.8361
708.0,10.9936,10.5188,0.2474,0.7277,0.8594
708.5,8.921,9.8395,0.2161,0.7048,0.843
709.0,8.1455,7.7266,0.1583,0.5849,0.6848
709.5,8.8847,6.4596,0.1248,0.4985,0.5902
710.0,8.4282,6.5958,0.1221,0.5266,0.6096
710.5,8.0368,8.1144,0.1518,0.6326,0.7502
711.0,7.8557,8.5845,0.1691,0.653,0.7923
711.5,7.718,8.5611,0.172,0.6443,0.8046
712.0,7.3121,7.6912,0.1562,0.5802,0.7364
712.5,7.0657,7.1025,0.1353,0.5415,0.7092
713.0,7.7107,6.9534,0.1186,0.5028,0.7376
713.5,8.0513,6.8956,0.1049,0.4575,0.7871
714.0,8.4716,7.2176,0.1035,0.4211,0.8556
714.5,8.8992,8.5821,0.118,0.452,1.0563
715.0,8.4644,9.6191,0.1305,0.4484,1.2023
715.5,9.392,10.2458,0.1309,0.443,1.3057
716.0,11.8342,9.9304,0.1296,0.4445,1.2486
716.5,12.7256,10.0474,0.1401,0.4645,1.2387
717.0,13.1097,10.8304,0.1595,0.5227,1.3166
717.5,14.3634,12.9047,0.1966,0.5947,1.5685
718.0,15.6244,14.3672,0.2239,0.5946,1.7631
718.5,19.0594,16.3499,0.259,0.6418,2.0094
719.0,21.8132,16.9399,0.2822,0.6476,2.0438
719.5,20.9508,16.6566,0.2953,0.6801,1.9461
720.0,20.4508,16.5854,0.2997,0.7139,1.8938
720.5,20.5813,15.0081,0.2823,0.6408,1.6899
721.0,18.5521,14.0637,0.2764,0.5734,1.5763
721.5,15.7041,12.5962,0.269,0.472,1.391
722.0,12.0806,10.7396,0.2485,0.3702,1.1591
722.5,9.7906,9.9046,0.2477,0.3359,1.0316
723.0,10.5877,8.7038,0.2329,0.3197,0.8658
723.5,11.9937,9.1387,0.258,0.3495,0.871
724.0,11.5371,9.9136,0.2918,0.3944,0.9151
724.5,12.2256,11.1162,0.3393,0.4611,1.0085
725.0,14.4141,13.1077,0.4178,0.5699,1.1419
725.5,16.9795,14.7639,0.4832,0.7149,1.2302
726.0,18.5521,15.1403,0.5031,0.8022,1.2082
726.5,17.7477,14.4731,0.4673,0.8187,1.1564
727.0,15.0591,12.047,0.3806,0.6793,0.9667
727.5,11.682,9.616,0.2984,0.5532,0.7653
728.0,9.3558,8.7237,0.2674,0.5333,0.6842
728.5,7.8267,7.5314,0.2296,0.4856,0.5705
729.0,7.1889,6.7502,0.2055,0.4596,0.4959
729.5,6.3121,6.3196,0.1868,0.418,0.4754
730.0,5.841,6.0155,0.1769,0.3609,0.4727
730.5,6.8628,6.1572,0.1794,0.3403,0.5059
731.0,7.3049,7.1271,0.198,0.415,0.6113
731.5,7.3194,7.2267,0.1764,0.4722,0.6503
732.0,8.6746,7.3443,0.1455,0.5335,0.7418
732.5,9.7181,7.3363,0.1143,0.5613,0.814
733.0,9.4137,7.0744,0.0924,0.5094,0.8406
733.5,8.4427,7.3692,0.0878,0.5157,0.8967
734.0,7.7252,7.151,0.0844,0.4941,0.8571
734.5,8.3557,6.6167,0.0735,0.4437,0.7899
735.0,8.7253,6.1143,0.0655,0.3963,0.7375
735.5,8.1021,6.5458,0.0712,0.4013,0.7932
736.0,7.2904,7.0997,0.0777,0.3959,0.887
736.5,7.2179,7.173,0.0827,0.3437,0.925
737.0,7.7832,7.0802,0.0847,0.2815,0.9355
737.5,8.0803,6.6887,0.0754,0.2336,0.9122
738.0,8.5804,7.1722,0.0817,0.2147,0.9917
738.5,9.1021,8.6745,0.1044,0.2298,1.1974
739.0,9.8341,10.0741,0.1305,0.238,1.3888
739.5,10.7762,11.2901,0.1567,0.246,1.5417
740.0,11.5154,11.2599,0.1668,0.2366,1.5102
740.5,10.8486,10.316,0.1507,0.2107,1.3865
741.0,9.4645,9.7474,0.1438,0.1849,1.2959
741.5,8.921,9.2606,0.1378,0.2109,1.2007
742.0,9.0804,8.6699,0.1337,0.2259,1.0732
742.5,8.8195,7.3047,0.1163,0.2293,0.8439
743.0,8.334,5.5107,0.0953,0.1848,0.5962
743.5,7.689,4.6596,0.0867,0.1639,0.4858
744.0,6.1599,4.4442,0.0852,0.1772,0.4583
744.5,6.1164,4.9901,0.0983,0.2194,0.5106
745.0,6.7106,6.252,0.1294,0.3033,0.6228
745.5,7.0875,6.8928,0.1593,0.3554,0.6426
746.0,8.0368,7.2066,0.1779,0.3889,0.6273
746.5,8.1818,7.1288,0.1892,0.3989,0.5708
747.0,7.2179,7.2798,0.1895,0.426,0.5882
747.5,6.5657,7.4054,0.1853,0.4371,0.6247
748.0,6.37,6.7177,0.1572,0.3934,0.6045
748.5,6.5947,5.7041,0.1239,0.3282,0.5622
749.0,7.3846,5.3172,0.1079,0.2989,0.5495
749.5,7.689,5.3707,0.1034,0.2973,0.5737
750.0,7.8049,6.0214,0.1112,0.3451,0.6538
750.5,7.9789,6.0412,0.113,0.3577,0.6549
751.0,8.5441,6.6209,0.1299,0.4141,0.6998
751.5,9.4572,7.0612,0.1432,0.4179,0.7593
752.0,9.421,7.5842,0.1625,0.3931,0.8287
752.5,8.6383,8.2992,0.1915,0.411,0.9023
753.0,8.8775,7.7157,0.1811,0.3364,0.8694
753.5,8.2977,7.4706,0.1718,0.3331,0.8659
754.0,6.986,7.0613,0.1595,0.3033,0.8459
754.5,6.6962,6.6851,0.1444,0.2748,0.831
755.0,7.0947,6.9262,0.1512,0.2762,0.8689
755.5,8.276,6.626,0.1383,0.2557,0.8588
756.0,8.5079,6.3767,0.1245,0.2579,0.8512
756.5,6.6454,6.7767,0.119,0.2628,0.981
757.0,6.7976,7.3141,0.1187,0.2702,1.1149
757.5,8.5586,7.6169,0.1251,0.2966,1.168
758.0,9.0079,7.3568,0.1254,0.3689,1.0819
758.5,9.4572,6.5749,0.1187,0.3955,0.9048
759.0,10.2109,5.7199,0.0999,0.3838,0.769
759.5,10.4501,6.0677,0.1017,0.4312,0.8273
760.0,10.6095,6.4414,0.1029,0.4417,0.9303
760.5,10.6965,6.8768,0.1028,0.4452,1.0547
761.0,10.0877,7.3207,0.0977,0.464,1.1852
761.5,9.0007,7.0434,0.0812,0.4339,1.192
762.0,8.9572,6.6353,0.0682,0.4128,1.1495
762.5,9.0007,6.2642,0.0575,0.3572,1.1097
763.0,7.9064,6.34,0.0567,0.3405,1.1238
763.5,7.9354,6.9229,0.0666,0.3521,1.2205
764.0,7.8412,7.4415,0.0769,0.3463,1.2999
764.5,7.6383,6.848,0.0839,0.3227,1.1309
765.0,8.1673,6.2641,0.0819,0.2894,1.0046
765.5,7.7035,5.5943,0.0775,0.2478,0.8806
766.0,6.2179,5.7204,0.0811,0.2468,0.8903
766.5,6.5005,6.5057,0.1075,0.3092,0.9437
767.0,7.6817,6.7346,0.1337,0.3407,0.8898
767.5,7.9426,6.9372,0.16,0.3617,0.8382
768.0,8.0803,6.6894,0.1757,0.3132,0.7648
768.5,8.3919,7.2946,0.1998,0.2554,0.8634
769.0,8.4861,8.2398,0.242,0.2239,0.9729
769.5,7.8339,8.0321,0.245,0.2275,0.9092
770.0,7.015,7.2839,0.2264,0.2579,0.7624
770.5,7.0005,6.3107,0.1993,0.3008,0.5967
771.0,7.4426,6.1213,0.1926,0.3355,0.5438
771.5,8.247,7.1011,0.2232,0.4058,0.6039
772.0,9.8848,7.3755,0.2313,0.4087,0.6463
772.5,10.5515,7.2963,0.2293,0.4525,0.6309
773.0,9.2833,6.7468,0.2119,0.4615,0.5783
773.5,7.7904,5.9614,0.1908,0.4577,0.4947
774.0,7.4571,6.0452,0.2014,0.5059,0.471
774.5,7.2542,6.1438,0.211,0.5242,0.4617
775.0,7.2324,6.4327,0.2251,0.5731,0.4614
775.5,7.9861,6.9107,0.2472,0.6419,0.4654
776.0,8.2397,6.8049,0.2411,0.6469,0.4437
776.5,9.7616,6.9336,0.2443,0.6885,0.4438
777.0,10.3269,7.0017,0.231,0.7166,0.4727
777.5,8.7253,7.0122,0.2158,0.7621,0.4849
778.0,8.4354,7.3278,0.2026,0.8472,0.524
778.5,8.8775,7.7726,0.196,0.9081,0.5849
779.0,7.6745,8.0022,0.185,0.9359,0.66
779.5,6.486,8.4468,0.1783,0.9456,0.801
780.0,5.4787,7.8366,0.1573,0.7979,0.8221
780.5,4.8699,6.951,0.1339,0.6314,0.7895
781.0,6.1019,6.3042,0.1192,0.5027,0.7372
781.5,8.1166,5.4779,0.102,0.4276,0.6558
782.0,8.6383,5.7479,0.1053,0.4826,0.674
782.5,7.7615,5.5369,0.1003,0.4628,0.653
783.0,7.044,5.8035,0.0993,0.4487,0.7194
783.5,6.6382,6.2462,0.094,0.4423,0.8397
784.0,6.544,6.9456,0.0859,0.429,1.0115
784.5,6.9643,8.5031,0.0855,0.5378,1.2935
785.0,7.5223,8.731,0.0683,0.6148,1.3588
785.5,7.5658,8.2516,0.0519,0.6035,1.316
786.0,7.5295,7.6459,0.0402,0.5357,1.2625
786.5,7.5223,7.385,0.0313,0.4774,1.2631
787.0,7.6962,8.2172,0.0289,0.4701,1.4446
787.5,8.189,8.868,0.0324,0.4732,1.57
788.0,8.1963,8.9035,0.0382,0.4991,1.5591
788.5,8.3774,8.1004,0.045,0.5091,1.3823
789.0,8.5079,7.7517,0.0523,0.5489,1.2719
789.5,9.5152,8.0047,0.0606,0.5976,1.2469
790.0,10.479,8.5164,0.0736,0.649,1.2622
790.5,10.3196,9.2713,0.0849,0.7175,1.3329
791.0,11.3559,9.5428,0.0964,0.7445,1.3375
791.5,12.4067,8.9565,0.0906,0.7042,1.2604
792.0,10.5008,8.3033,0.0862,0.6405,1.1496
792.5,8.1745,7.9709,0.0846,0.5868,1.0947
793.0,8.1963,7.5367,0.0829,0.532,1.0154
793.5,8.2108,7.2803,0.0844,0.5321,0.9354
794.0,8.3195,7.3775,0.0918,0.567,0.8852
794.5,8.3557,7.4273,0.093,0.5734,0.8748
795.0,8.1818,7.255,0.0968,0.5284,0.8512
795.5,8.8485,7.7036,0.0991,0.4895,0.9325
796.0,10.2109,6.9869,0.0933,0.4205,0.8401
796.5,9.9645,6.8487,0.0947,0.4464,0.7867
797.0,8.5586,6.7579,0.0958,0.4437,0.762
797.5,8.5224,6.6401,0.0985,0.4429,0.7275
798.0,7.9861,6.7192,0.0929,0.4061,0.7548
798.5,7.5513,7.1093,0.0911,0.3543,0.8317
799.0,7.7687,7.3241,0.0863,0.2876,0.8903
799.5,8.0006,7.783,0.091,0.2419,0.9711
800.0,9.3268,8.7797,0.106,0.2697,1.1024
800.5,10.5588,9.3662,0.1149,0.3045,1.1808
801.0,10.537,9.8495,0.1217,0.3398,1.2522
801.5,10.5153,10.1587,0.1227,0.3564,1.3063
802.0,10.6965,9.5833,0.1218,0.3385,1.2084
802.5,10.9718,9.047,0.1218,0.3152,1.1255
803.0,11.4646,8.4007,0.1138,0.3026,1.0397
803.5,11.1748,8.6069,0.1123,0.3188,1.0784
804.0,9.1674,7.9092,0.1005,0.3036,1.0075
804.5,9.0369,7.9848,0.0938,0.2913,1.0488
805.0,10.537,7.5689,0.0796,0.296,1.009
805.5,9.9138,7.6783,0.0746,0.298,1.0336
806.0,8.7253,8.2824,0.0844,0.3257,1.0994
806.5,8.7325,8.468,0.0794,0.308,1.1606
807.0,9.7036,8.3191,0.0774,0.2799,1.184
807.5,9.1601,7.972,0.0686,0.254,1.1777
808.0,7.4136,7.1959,0.064,0.2126,1.0909
