API_Label,Latitude,Longitude,geometry
05-057-06157,40.737123,-106.151308,POINT (402789 4510213)
05-057-06158,40.76664,-106.21775,POINT (397224 4513566)
05-057-06159,40.79333,-106.25419,POINT (394191 4516572)
05-057-06160,40.79131,-106.25075,POINT (394478 4516343)
05-057-06161,40.79733,-106.25472,POINT (394152 4517016)
05-057-06162,40.79453,-106.25219,POINT (394361 4516703)
05-057-06163,40.785,-106.25022,POINT (394512 4515642)
05-057-06164,40.78458,-106.24603,POINT (394865 4515591)
05-057-06165,40.78433,-106.24117,POINT (395275 4515557)
05-057-06166,40.782641,-106.238534,POINT (395495 4515366)
05-057-06167,40.77811,-106.24222,POINT (395177 4514868)
05-057-06168,40.777667,-106.237139,POINT (395605 4514813)
05-057-06169,40.77369,-106.22689,POINT (396463 4514359)
05-057-06170,40.77047,-106.22261,POINT (396820 4513997)
05-057-06171,40.874871,-106.351625,POINT (386110 4525746)
05-057-06172,40.731103,-106.144818,POINT (403328 4509538)
05-057-06173,40.840901,-106.280063,POINT (392085 4521884)
05-057-06174,40.621424,-106.174798,POINT (400633 4497396)
05-057-06175,40.840791,-106.275293,POINT (392487 4521866)
05-057-06176,40.759293,-106.108087,POINT (406469 4512627)
05-057-06177,40.769951,-106.119028,POINT (405561 4513822)
05-057-06178,40.773633,-106.122627,POINT (405262 4514235)
05-057-06179,40.560045,-106.242189,POINT (394837 4490661)
05-057-06180,40.775973,-106.128237,POINT (404792 4514501)
05-057-06181,40.771493,-106.122577,POINT (405263 4513997)
05-057-06182,40.769103,-106.123877,POINT (405150 4513733)
05-057-06183,40.769063,-106.119117,POINT (405552 4513724)
05-057-06184,40.764423,-106.106187,POINT (406637 4513195)
05-057-06185,40.778213,-106.128498,POINT (404773 4514750)
05-057-06186,40.77064,-106.23075,POINT (396133 4514025)
05-057-06187,40.77392,-106.23756,POINT (395563 4514397)
05-057-06188,40.779111,-106.247694,POINT (394716 4514986)
05-057-06189,40.782722,-106.250917,POINT (394450 4515390)
05-057-06190,40.786552,-106.251891,POINT (394374 4515817)
05-057-06191,40.79075,-106.2535,POINT (394245 4516285)
05-057-06192,40.795,-106.255028,POINT (394123 4516758)
05-057-06193,40.79706,-106.25169,POINT (394407 4516983)
05-057-06194,40.757153,-106.22572,POINT (396536 4512522)
05-057-06195,40.631265,-106.413656,POINT (380447 4498786)
05-057-06196,40.792612,-106.266252,POINT (393172 4516507)
05-057-06197,40.751441,-106.499439,POINT (373420 4512247)
05-057-06198,40.756493,-106.22135,POINT (396904 4512443)
05-057-06199,40.724673,-106.138207,POINT (403877 4508817)
05-057-06200,40.733303,-106.158088,POINT (402210 4509797)
05-057-06201,40.753073,-106.168539,POINT (401357 4512003)
05-057-06202,40.745013,-106.195319,POINT (399084 4511139)
05-057-06203,40.711212,-106.460977,POINT (376593 4507726)
05-057-06204,40.777233,-106.130258,POINT (404623 4514643)
05-057-06205,40.778093,-106.129148,POINT (404718 4514737)
05-057-06206,40.778613,-106.131218,POINT (404544 4514797)
05-057-06207,40.775313,-106.126987,POINT (404897 4514426)
05-057-06208,40.780373,-106.134058,POINT (404307 4514995)
05-057-06209,40.811052,-106.295853,POINT (390705 4518590)
05-057-06210,40.573796,-105.984141,POINT (416701 4491911)
05-057-06211,40.817962,-106.224541,POINT (396730 4519271)
05-057-06212,40.819662,-106.228671,POINT (396385 4519464)
05-057-06213,40.822222,-106.232181,POINT (396093 4519753)
05-057-06214,40.450025,-106.453575,POINT (376740 4478722)
05-057-06215,40.692822,-106.502598,POINT (373042 4505744)
05-057-06216,40.778073,-106.132788,POINT (404411 4514739)
05-057-06217,40.779533,-106.132168,POINT (404465 4514900)
05-057-06218,40.593923,-106.537209,POINT (369926 4494816)
05-057-06219,40.729093,-106.152788,POINT (402652 4509324)
05-057-06220,40.739843,-106.181416,POINT (400250 4510549)
05-057-06221,40.792872,-106.251882,POINT (394385 4516518)
05-057-06222,40.72271,-106.147755,POINT (403068 4508609)
05-057-06223,40.735943,-106.166768,POINT (401481 4510100)
05-057-06224,40.736703,-106.176659,POINT (400647 4510195)
05-057-06225,40.754303,-106.178069,POINT (400555 4512150)
05-057-06226,40.82412,-106.23503,POINT (395855 4519967)
05-057-06227,40.612553,-106.513888,POINT (371935 4496850)
05-057-06228,40.777092,-106.244051,POINT (395020 4514757)
05-057-06229,40.88659,-106.366326,POINT (384892 4527066)
05-057-06230,40.565976,-105.987891,POINT (416374 4491047)
05-057-06231,40.678862,-106.464937,POINT (376198 4504140)
05-057-06232,40.369507,-106.209876,POINT (397283 4469473)
05-057-06233,40.762902,-106.109136,POINT (406386 4513029)
05-057-06234,40.76525,-106.112843,POINT (406076 4513294)
05-057-06235,40.780233,-106.127348,POINT (404873 4514973)
05-057-06236,40.779213,-106.130598,POINT (404597 4514863)
05-057-06237,40.688872,-106.498398,POINT (373390 4505299)
05-057-06238,40.766633,-106.116437,POINT (405775 4513451)
05-057-06239,40.767593,-106.117447,POINT (405691 4513559)
05-057-06240,40.770693,-106.123517,POINT (405183 4513909)
05-057-06241,40.779773,-106.129838,POINT (404662 4514924)
05-057-06242,40.765633,-106.114197,POINT (405962 4513338)
05-057-06243,40.74842,-106.20075,POINT (398631 4511523)
05-057-06244,40.522712,-106.418956,POINT (379805 4486743)
05-057-06245,40.766593,-106.114757,POINT (405916 4513445)
05-057-06246,40.776433,-106.129188,POINT (404712 4514553)
05-057-06247,40.779383,-106.128818,POINT (404748 4514880)
05-057-06248,40.778853,-106.12794,POINT (404821 4514820)
05-057-06249,40.790811,-106.419057,POINT (380277 4516504)
05-057-06250,40.813702,-106.291733,POINT (391057 4518879)
05-057-06251,40.671134,-106.084385,POINT (408349 4502816)
05-057-06252,40.696772,-106.536896,POINT (370152 4506232)
05-057-06253,40.692443,-106.52327,POINT (371295 4505732)
05-057-06254,40.696818,-106.541219,POINT (369787 4506244)
05-057-06255,40.762483,-106.108097,POINT (406473 4512982)
05-057-06256,40.778843,-106.126967,POINT (404903 4514818)
05-057-06257,40.485796,-106.231928,POINT (395591 4482407)
05-057-06258,40.777673,-106.125527,POINT (405023 4514686)
05-057-06259,40.779873,-106.128778,POINT (404752 4514934)
05-057-06260,40.746833,-106.249651,POINT (394500 4511405)
05-057-06261,40.79539,-106.24978,POINT (394566 4516795)
05-057-06262,40.796622,-106.249291,POINT (394609 4516931)
05-057-06263,40.792012,-106.247171,POINT (394781 4516417)
05-057-06264,40.79344,-106.24736,POINT (394767 4516576)
05-057-06265,40.700602,-106.54107,POINT (369807 4506664)
05-057-06266,40.703882,-106.54291,POINT (369658 4507031)
05-057-06267,40.778823,-106.130208,POINT (404630 4514819)
